#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
36.0,36,262.646832
13.0,13,262.656817
89.0,89,262.727068
37.0,37,262.759341
37.0,37,262.797292
88.0,88,262.869589
28.0,28,262.892907
82.0,82,262.958474
16.0,16,262.970581
25.0,25,262.993416
30.0,30,263.014994
36.0,36,263.044132
40.0,40,263.07576
31.0,31,263.102168
87.0,87,263.174572
118.0,118,263.272506
28.0,28,263.296013
32.0,32,263.322584
42.0,42,263.359986
17.0,17,263.372943
109.0,109,263.46504
35.0,35,263.496254
13.0,13,263.505602
13.0,13,263.51535
63.0,63,263.569598
20.0,20,263.58594
35.0,35,263.618896
53.0,53,263.671893
47.0,47,263.719004
26.0,26,263.741555
57.0,57,263.794016
37.0,37,263.833752
12.0,12,263.843949
39.0,39,263.875717
78.0,78,263.943872
58.0,58,263.999718
53.0,53,264.047665
34.0,34,264.076811
52.0,52,264.121219
15.0,15,264.133843
110.0,110,264.231639
29.0,29,264.258328
37.0,37,264.29251
68.0,68,264.34961
107.0,107,264.445635
15.0,15,264.457114
26.0,26,264.480364
48.0,48,264.523668
64.0,64,264.580114
9.0,9,264.586209
16.0,16,264.59902
16.0,16,264.612385
19.0,19,264.629164
16.0,16,264.643781
45.0,45,264.681779
25.0,25,264.70625
92.0,92,264.783582
17.0,17,264.796621
21.0,21,264.813171
26.0,26,264.839971
36.0,36,264.878195
